"Background Characteristic","No Education","Primary","Middle","Secondary+","Missing","Total","Population","Median years","Mean years"
"5-9",58.7,40.7,0.1,NA,0.4,NA,3340,0,0.4
"10-14",48.5,35.5,12.4,3.2,0.5,NA,2998,1,2.1
"15-19",54.9,15.5,10.5,18.9,0.2,NA,NA,0,3.2
"20-24",63.9,13.6,6.4,16.1,0.1,NA,1798,0,2.8
"25-29",72,10,5,12.9,NA,NA,1669,0,2.2
"30-34",10.4,4,9.5,0.7,NA,0,1207,0,1.8
"35-39",9.1,4.8,6.9,0.2,NA,0,996,0,1.5
"40-44",83.4,7,3.3,6,0.3,NA,NA,0,1.2
"45-49",86.3,6.5,2.8,3.4,1,NA,602,0,0.9
"50-54",3,1.9,1.7,0.4,NA,0,805,0,0.5
"55-59",92.8,3.9,1.5,1,0.7,NA,597,0,0.4
"60-64",94.5,1.8,1.3,1.6,0.9,NA,528,0,0.3
"65+",2.2,0.3,0.9,1.4,10,0,0.9,0,0.2
"Total Urban",42.8,28.4,10.5,18,0.3,100,6126,1.5,3.4
"Major city",37.6,28.9,11.6,21.6,0.3,100,3511,2.8,4
"Other urban",49.9,27.6,9,13.2,0.2,100,2615,0.9,2.7
"Rural",79.4,15.8,2.6,1.6,0.5,100,12855,0,0.7
"Punjab",63.7,22.2,6.1,7.7,0.2,100,11389,0,1.8
"Sindh",66.2,20.2,4.6,0.2,0.8,100,4345,0,1.7
"NWFP",81.6,12.2,3,2.9,0.3,100,2570,0,0.8
"Balochistan",88.5,7.1,1.4,1.2,1.8,100,675,0,0.4
"Total",67.6,19.9,5.2,6.9,0.4,100,18981,0,1.6
